date,cash,positionsValue,totalEquity,openPositionCount
2007-01-03,3300,0,3300,0
2007-01-04,3300,0,3300,0
2007-01-05,3300,0,3300,0
2007-01-08,3300,0,3300,0
2007-01-09,3300,0,3300,0
2007-01-10,3300,0,3300,0
2007-01-11,3300,0,3300,0
2007-01-12,3300,0,3300,0
2007-01-16,3300,0,3300,0
2007-01-17,3300,0,3300,0
2007-01-18,3300,0,3300,0
2007-01-19,3300,0,3300,0
2007-01-22,3300,0,3300,0
2007-01-23,3300,0,3300,0
2007-01-24,3300,0,3300,0
2007-01-25,3300,0,3300,0
2007-01-26,3300,0,3300,0
2007-01-29,3300,0,3300,0
2007-01-30,3300,0,3300,0
2007-01-31,3300,0,3300,0
2007-02-01,3300,0,3300,0
2007-02-02,3300,0,3300,0
2007-02-05,3300,0,3300,0
2007-02-06,3300,0,3300,0
2007-02-07,3300,0,3300,0
2007-02-08,3300,0,3300,0
2007-02-09,3300,0,3300,0
2007-02-12,3300,0,3300,0
2007-02-13,3300,0,3300,0
2007-02-14,3300,0,3300,0
2007-02-15,3300,0,3300,0
2007-02-16,3300,0,3300,0
2007-02-20,3300,0,3300,0
2007-02-21,3300,0,3300,0
2007-02-22,3300,0,3300,0
2007-02-23,3300,0,3300,0
2007-02-26,3300,0,3300,0
2007-02-27,3300,0,3300,0
2007-02-28,3300,0,3300,0
2007-03-01,3300,0,3300,0
2007-03-02,3300,0,3300,0
2007-03-05,3300,0,3300,0
2007-03-06,3300,0,3300,0
2007-03-07,3300,0,3300,0
2007-03-08,3300,0,3300,0
2007-03-09,3300,0,3300,0
2007-03-12,3300,0,3300,0
2007-03-13,3300,0,3300,0
2007-03-14,3300,0,3300,0
2007-03-15,3300,0,3300,0
2007-03-16,3300,0,3300,0
2007-03-19,3300,0,3300,0
2007-03-20,3300,0,3300,0
2007-03-21,2867.0375913044745,427.6624086955252,3294.7,1
2007-03-22,2438.872539474223,846.3810948622538,3285.2536343364764,2
2007-03-23,2438.872539474223,852.0618603384264,3290.934399812649,2
2007-03-26,2438.872539474223,858.4356985881357,3297.308238062358,2
2007-03-27,2438.872539474223,829.1674421838284,3268.039981658051,2
2007-03-28,2438.872539474223,776.7406487320943,3215.6131882063173,2
2007-03-29,2438.872539474223,796.7463008082468,3235.6188402824696,2
2007-03-30,2438.872539474223,795.2130803894057,3234.0856198636284,2
2007-04-02,2438.872539474223,814.9767825506519,3253.8493220248747,2
2007-04-03,2438.872539474223,873.367989892872,3312.2405293670945,2
2007-04-04,2438.872539474223,883.5545997756287,3322.4271392498513,2
2007-04-05,2438.872539474223,898.9183708514922,3337.7909103257152,2
2007-04-09,2438.872539474223,916.930934343392,3355.8034738176148,2
2007-04-10,2438.872539474223,935.3964671733445,3374.269006647567,2
2007-04-11,2438.872539474223,906.0291473954035,3344.9016868696262,2
2007-04-12,2438.872539474223,942.6869932484892,3381.559532722712,2
2007-04-13,2438.872539474223,961.8962196696538,3400.7687591438767,2
2007-04-16,3004.6219059991045,416.40018252339814,3421.0220885225026,1
2007-04-17,2578.6988036752305,841.8953622534009,3420.5941659286314,2
2007-04-18,2578.6988036752305,843.2650391710304,3421.963842846261,2
2007-04-19,2578.6988036752305,837.7162264046167,3416.4150300798474,2
2007-04-20,2578.6988036752305,883.7857798567302,3462.4845835319607,2
2007-04-23,2578.6988036752305,869.0137229513164,3447.7125266265466,2
2007-04-24,2578.6988036752305,868.7279505030588,3447.4267541782892,2
2007-04-25,2578.6988036752305,905.3046293085358,3484.0034329837663,2
2007-04-26,2578.6988036752305,910.272938392299,3488.9717420675297,2
2007-04-27,2578.6988036752305,916.5690436408731,3495.2678473161036,2
2007-04-30,2578.6988036752305,876.7783104195925,3455.477114094823,2
2007-05-01,2578.6988036752305,898.1193581929492,3476.8181618681797,2
2007-05-02,2578.6988036752305,927.6395634143471,3506.3383670895773,2
2007-05-03,2578.6988036752305,942.2779596122077,3520.976763287438,2
2007-05-04,2578.6988036752305,952.340695008364,3531.0394986835945,2
2007-05-07,2578.6988036752305,965.43816533777,3544.1369690130005,2
2007-05-08,2633.702879250403,904.9692398599341,3538.672119110337,2
2007-05-09,2698.5180113265596,847.9077716071089,3546.4257829336684,2
2007-05-10,2698.5180113265596,772.824803492966,3471.3428148195258,2
2007-05-11,2698.5180113265596,829.9152006999868,3528.4332120265462,2
2007-05-14,2698.5180113265596,815.6292880635722,3514.1472993901316,2
2007-05-15,2698.5180113265596,809.8584046863227,3508.376416012882,2
2007-05-16,2698.5180113265596,856.9841506122433,3555.502161938803,2
2007-05-17,2698.5180113265596,854.9264054860785,3553.4444168126383,2
2007-05-18,2698.5180113265596,892.3440053007928,3590.862016627352,2
2007-05-21,2698.5180113265596,899.4441819964304,3597.96219332299,2
2007-05-22,2698.5180113265596,902.9788291784605,3601.4968405050204,2
2007-05-23,2698.5180113265596,899.5791728781005,3598.09718420466,2
2007-05-24,2698.5180113265596,849.9186880848231,3548.4366994113825,2
2007-05-25,2698.5180113265596,887.8151299911792,3586.333141317739,2
2007-05-29,2698.5180113265596,909.1094841537674,3607.627495480327,2
2007-05-30,2698.5180113265596,948.8105438611807,3647.32855518774,2
2007-05-31,2698.5180113265596,951.8765865871645,3650.3945979137243,2
2007-06-01,2758.5071626591825,900.9076264775172,3659.4147891366997,2
2007-06-04,2815.665526305082,847.7004836806384,3663.3660099857207,2
2007-06-05,2815.665526305082,822.2309672790352,3637.8964935841173,2
2007-06-06,2815.665526305082,768.5825335868994,3584.2480598919815,2
2007-06-07,2815.665526305082,611.3260259067353,3426.991552211817,2
2007-06-08,2815.665526305082,725.8134367763887,3541.4789630814707,2
2007-06-11,2815.665526305082,735.8836849845261,3551.549211289608,2
2007-06-12,2815.665526305082,622.4173296142433,3438.082855919325,2
2007-06-13,2815.665526305082,767.4310938670576,3583.0966201721394,2
2007-06-14,2815.665526305082,807.6417917901693,3623.3073180952515,2
2007-06-15,2815.665526305082,842.9107564106332,3658.576282715715,2
2007-06-18,2815.665526305082,850.7380313515041,3666.403557656586,2
2007-06-19,2815.665526305082,870.3619915799145,3686.0275178849965,2
2007-06-20,2815.665526305082,764.7820180709975,3580.4475443760793,2
2007-06-21,2815.665526305082,816.6352887655279,3632.30081507061,2
2007-06-22,2815.665526305082,692.8075139713727,3508.473040276455,2
2007-06-25,2815.665526305082,654.0810764579344,3469.746602763016,2
2007-06-26,2815.665526305082,609.4677302016379,3425.13325650672,2
2007-06-27,2815.665526305082,734.8574704154619,3550.522996720544,2
2007-06-28,2815.665526305082,733.838733169883,3549.504259474965,2
2007-06-29,2815.665526305082,713.6216652407863,3529.287191545868,2
2007-07-02,2815.665526305082,867.3617574465397,3683.027283751622,2
2007-07-03,2815.665526305082,915.9794870953189,3731.645013400401,2
2007-07-05,2892.3855475677365,868.592154424985,3760.9777019927214,2
2007-07-06,2892.3855475677365,899.804386426568,3792.1899339943047,2
2007-07-09,2968.6060144909056,839.3760917092799,3807.9821062001856,2
2007-07-10,2968.6060144909056,767.6325934676555,3736.2386079585613,2
2007-07-11,2968.6060144909056,797.329704235355,3765.935718726261,2
2007-07-12,2968.6060144909056,874.6852531077241,3843.29126759863,2
2007-07-13,2968.6060144909056,888.8302667954345,3857.43628128634,2
2007-07-16,2968.6060144909056,885.7055411958104,3854.311555686716,2
2007-07-17,2968.6060144909056,887.3949627772706,3856.000977268176,2
2007-07-18,2968.6060144909056,880.2364524611133,3848.842466952019,2
2007-07-19,2968.6060144909056,903.2063189873352,3871.812333478241,2
2007-07-20,2968.6060144909056,850.0479287531202,3818.653943244026,2
2007-07-23,2968.6060144909056,877.745479650117,3846.3514941410226,2
2007-07-24,2968.6060144909056,777.2120402501218,3745.8180547410275,2
2007-07-25,2968.6060144909056,807.624342534617,3776.2303570255226,2
2007-07-26,2968.6060144909056,610.3164529118267,3578.9224674027323,2
2007-07-27,3404.204388523828,0,3404.204388523828,0
2007-07-30,3404.204388523828,0,3404.204388523828,0
2007-07-31,3404.204388523828,0,3404.204388523828,0
2007-08-01,3404.204388523828,0,3404.204388523828,0
2007-08-02,3404.204388523828,0,3404.204388523828,0
2007-08-03,3404.204388523828,0,3404.204388523828,0
2007-08-06,3404.204388523828,0,3404.204388523828,0
2007-08-07,3404.204388523828,0,3404.204388523828,0
2007-08-08,3404.204388523828,0,3404.204388523828,0
2007-08-09,3404.204388523828,0,3404.204388523828,0
2007-08-10,3404.204388523828,0,3404.204388523828,0
2007-08-13,3404.204388523828,0,3404.204388523828,0
2007-08-14,3404.204388523828,0,3404.204388523828,0
2007-08-15,3404.204388523828,0,3404.204388523828,0
2007-08-16,3404.204388523828,0,3404.204388523828,0
2007-08-17,3404.204388523828,0,3404.204388523828,0
2007-08-20,3404.204388523828,0,3404.204388523828,0
2007-08-21,3404.204388523828,0,3404.204388523828,0
2007-08-22,3404.204388523828,0,3404.204388523828,0
2007-08-23,3404.204388523828,0,3404.204388523828,0
2007-08-24,3404.204388523828,0,3404.204388523828,0
2007-08-27,3404.204388523828,0,3404.204388523828,0
2007-08-28,3404.204388523828,0,3404.204388523828,0
2007-08-29,3404.204388523828,0,3404.204388523828,0
2007-08-30,3404.204388523828,0,3404.204388523828,0
2007-08-31,3404.204388523828,0,3404.204388523828,0
2007-09-04,2986.737737964066,412.16665055976165,3398.904388523828,1
2007-09-05,2986.737737964066,396.3234970251463,3383.0612349892126,1
2007-09-06,2986.737737964066,402.040758206801,3388.778496170867,1
2007-09-07,2986.737737964066,376.48965295496805,3363.2273909190344,1
2007-09-10,2986.737737964066,373.2992191439848,3360.036957108051,1
2007-09-11,2986.737737964066,394.1194442426728,3380.857182206739,1
2007-09-12,2986.737737964066,394.1207041010145,3380.8584420650805,1
2007-09-13,2566.697882551395,821.4363558530231,3388.1342384044183,2
2007-09-14,2566.697882551395,821.8940424270784,3388.591924978474,2
2007-09-17,2566.697882551395,807.1818852526405,3373.8797678040355,2
2007-09-18,2566.697882551395,895.6834748114356,3462.381357362831,2
2007-09-19,2566.697882551395,910.4666255258878,3477.1645080772832,2
2007-09-20,2566.697882551395,898.3374065974035,3465.0352891487987,2
2007-09-21,2566.697882551395,918.6485420339072,3485.3464245853024,2
2007-09-24,2566.697882551395,915.5662529576539,3482.264135509049,2
2007-09-25,2566.697882551395,923.8795511803668,3490.577433731762,2
2007-09-26,2566.697882551395,943.9979006345287,3510.695783185924,2
2007-09-27,2632.1406848004785,885.4797263964967,3517.6204111969755,2
2007-09-28,2632.1406848004785,873.8362325486321,3505.9769173491104,2
2007-10-01,2632.1406848004785,909.5467293770446,3541.6874141775234,2
2007-10-02,2632.1406848004785,907.3817850166085,3539.522469817087,2
2007-10-03,2632.1406848004785,898.8591485708707,3530.9998333713493,2
2007-10-04,2699.5922997070275,833.58552336495,3533.1778230719774,2
2007-10-05,2699.5922997070275,871.6713537633307,3571.263653470358,2
2007-10-08,2699.5922997070275,863.9401595968895,3563.5324593039168,2
2007-10-09,2699.5922997070275,897.9803451908006,3597.572644897828,2
2007-10-10,2699.5922997070275,891.3960645525449,3590.9883642595723,2
2007-10-11,2699.5922997070275,863.6409461383248,3563.233245845352,2
2007-10-12,2699.5922997070275,886.7837719627644,3586.3760716697916,2
2007-10-15,2699.5922997070275,859.7087005592086,3559.301000266236,2
2007-10-16,2699.5922997070275,834.953652383937,3534.5459520909644,2
2007-10-17,2699.5922997070275,853.8104585160098,3553.4027582230374,2
2007-10-18,2699.5922997070275,854.6023498379875,3554.1946495450147,2
2007-10-19,2699.5922997070275,697.0187395967073,3396.6110393037347,2
2007-10-22,2699.5922997070275,732.4891000178734,3432.0813997249006,2
2007-10-23,2699.5922997070275,798.9844867678539,3498.5767864748814,2
2007-10-24,2699.5922997070275,786.8922603926812,3486.4845600997087,2
2007-10-25,2699.5922997070275,783.9173802736067,3483.5096799806342,2
2007-10-26,2699.5922997070275,877.4067898102156,3576.999089517243,2
2007-10-29,2764.6669584781525,848.6067860780154,3613.273744556168,2
2007-10-30,2764.6669584781525,820.6199106994682,3585.2868691776207,2
2007-10-31,2764.6669584781525,884.8198354778547,3649.486793956007,2
2007-11-01,2764.6669584781525,742.09425334344,3506.7612118215925,2
2007-11-02,2764.6669584781525,750.8737247258282,3515.5406832039807,2
2007-11-05,2764.6669584781525,721.8051638161654,3486.472122294318,2
2007-11-06,2764.6669584781525,840.1579405011192,3604.824898979272,2
2007-11-07,2946.231334550461,291.86719818128637,3238.098532731747,1
2007-11-08,2946.231334550461,287.9840629407631,3234.215397491224,1
2007-11-09,3163.4745783188123,0,3163.4745783188123,0
2007-11-12,3163.4745783188123,0,3163.4745783188123,0
2007-11-13,3163.4745783188123,0,3163.4745783188123,0
2007-11-14,3163.4745783188123,0,3163.4745783188123,0
2007-11-15,3163.4745783188123,0,3163.4745783188123,0
2007-11-16,3163.4745783188123,0,3163.4745783188123,0
2007-11-19,3163.4745783188123,0,3163.4745783188123,0
2007-11-20,3163.4745783188123,0,3163.4745783188123,0
2007-11-21,3163.4745783188123,0,3163.4745783188123,0
2007-11-23,3163.4745783188123,0,3163.4745783188123,0
2007-11-26,3163.4745783188123,0,3163.4745783188123,0
2007-11-27,3163.4745783188123,0,3163.4745783188123,0
2007-11-28,3163.4745783188123,0,3163.4745783188123,0
2007-11-29,3163.4745783188123,0,3163.4745783188123,0
2007-11-30,3163.4745783188123,0,3163.4745783188123,0
2007-12-03,3163.4745783188123,0,3163.4745783188123,0
2007-12-04,3163.4745783188123,0,3163.4745783188123,0
2007-12-05,3163.4745783188123,0,3163.4745783188123,0
2007-12-06,3163.4745783188123,0,3163.4745783188123,0
2007-12-07,3163.4745783188123,0,3163.4745783188123,0
2007-12-10,3163.4745783188123,0,3163.4745783188123,0
2007-12-11,3163.4745783188123,0,3163.4745783188123,0
2007-12-12,3163.4745783188123,0,3163.4745783188123,0
2007-12-13,3163.4745783188123,0,3163.4745783188123,0
2007-12-14,3163.4745783188123,0,3163.4745783188123,0
2007-12-17,3163.4745783188123,0,3163.4745783188123,0
2007-12-18,3163.4745783188123,0,3163.4745783188123,0
2007-12-19,3163.4745783188123,0,3163.4745783188123,0
2007-12-20,3163.4745783188123,0,3163.4745783188123,0
2007-12-21,3163.4745783188123,0,3163.4745783188123,0
2007-12-24,3163.4745783188123,0,3163.4745783188123,0
2007-12-26,3163.4745783188123,0,3163.4745783188123,0
