date,cash,positionsValue,totalEquity,openPositionCount
2007-01-03,3300,0,3300,0
2007-01-04,3300,0,3300,0
2007-01-05,3300,0,3300,0
2007-01-08,3300,0,3300,0
2007-01-09,3300,0,3300,0
2007-01-10,3300,0,3300,0
2007-01-11,3300,0,3300,0
2007-01-12,3300,0,3300,0
2007-01-16,3300,0,3300,0
2007-01-17,3300,0,3300,0
2007-01-18,3300,0,3300,0
2007-01-19,3300,0,3300,0
2007-01-22,3300,0,3300,0
2007-01-23,3300,0,3300,0
2007-01-24,3300,0,3300,0
2007-01-25,3300,0,3300,0
2007-01-26,3300,0,3300,0
2007-01-29,3300,0,3300,0
2007-01-30,3300,0,3300,0
2007-01-31,3300,0,3300,0
2007-02-01,3300,0,3300,0
2007-02-02,3300,0,3300,0
2007-02-05,3300,0,3300,0
2007-02-06,3300,0,3300,0
2007-02-07,3300,0,3300,0
2007-02-08,3300,0,3300,0
2007-02-09,3300,0,3300,0
2007-02-12,3300,0,3300,0
2007-02-13,3300,0,3300,0
2007-02-14,3300,0,3300,0
2007-02-15,3300,0,3300,0
2007-02-16,3300,0,3300,0
2007-02-20,3300,0,3300,0
2007-02-21,3300,0,3300,0
2007-02-22,3300,0,3300,0
2007-02-23,3300,0,3300,0
2007-02-26,3300,0,3300,0
2007-02-27,3300,0,3300,0
2007-02-28,3300,0,3300,0
2007-03-01,3300,0,3300,0
2007-03-02,3300,0,3300,0
2007-03-05,3300,0,3300,0
2007-03-06,3300,0,3300,0
2007-03-07,3300,0,3300,0
2007-03-08,3300,0,3300,0
2007-03-09,3300,0,3300,0
2007-03-12,3300,0,3300,0
2007-03-13,3300,0,3300,0
2007-03-14,3300,0,3300,0
2007-03-15,3300,0,3300,0
2007-03-16,3300,0,3300,0
2007-03-19,3300,0,3300,0
2007-03-20,3300,0,3300,0
2007-03-21,2853.2735840505197,441.4264159494801,3294.7,1
2007-03-22,2400.090329313991,885.1958790296189,3285.28620834361,2
2007-03-23,2400.090329313991,889.9811237062161,3290.0714530202067,2
2007-03-26,2400.090329313991,895.9463880134549,3296.036717327446,2
2007-03-27,2400.090329313991,873.8768367987032,3273.967166112694,2
2007-03-28,2400.090329313991,829.5646011438777,3229.6549304578684,2
2007-03-29,2400.090329313991,845.3038256031168,3245.3941549171077,2
2007-03-30,2400.090329313991,846.7875615105822,3246.877890824573,2
2007-04-02,2400.090329313991,865.0844328616499,3265.174762175641,2
2007-04-03,2400.090329313991,912.040303915456,3312.130633229447,2
2007-04-04,2400.090329313991,920.767970340435,3320.858299654426,2
2007-04-05,2400.090329313991,932.2597764830522,3332.350105797043,2
2007-04-09,2424.549015744806,917.1206566603654,3341.6696724051717,2
2007-04-10,2454.311948768797,895.2248119376043,3349.536760706401,2
2007-04-11,2454.311948768797,866.7712801988655,3321.0832289676623,2
2007-04-12,2454.311948768797,897.0770678470274,3351.3890166158244,2
2007-04-13,2454.311948768797,914.8195535573107,3369.1315023261077,2
2007-04-16,2479.906559054732,914.8085666604889,3394.715125715221,2
2007-04-17,2479.906559054732,920.3338186503977,3400.2403777051295,2
2007-04-18,2479.906559054732,920.7569229318892,3400.6634819866213,2
2007-04-19,2479.906559054732,918.3535985712515,3398.2601576259835,2
2007-04-20,2516.803381158583,902.3316385705878,3419.1350197291704,2
2007-04-23,2516.803381158583,889.3352079147271,3406.13858907331,2
2007-04-24,2516.803381158583,889.2544358262965,3406.0578169848795,2
2007-04-25,2516.803381158583,919.0832552298369,3435.88663638842,2
2007-04-26,2516.803381158583,923.9237931910903,3440.727174349673,2
2007-04-27,2538.4374140836503,901.4472042388572,3439.884618322508,2
2007-04-30,2538.4374140836503,860.9823429887322,3399.4197570723827,2
2007-05-01,2538.4374140836503,880.2565989833442,3418.6940130669946,2
2007-05-02,2538.4374140836503,908.4930211132341,3446.9304351968844,2
2007-05-03,2538.4374140836503,922.6832178147381,3461.1206318983886,2
2007-05-04,2538.4374140836503,932.4593619646231,3470.8967760482733,2
2007-05-07,2570.904427991887,904.6002131374478,3475.504641129335,2
2007-05-08,2570.904427991887,902.7083928125212,3473.6128208044083,2
2007-05-09,2570.904427991887,917.0981468293372,3488.0025748212242,2
2007-05-10,2570.904427991887,866.3366019946529,3437.24102998654,2
2007-05-11,2570.904427991887,908.5827341097915,3479.4871621016787,2
2007-05-14,2570.904427991887,900.0314464910998,3470.935874482987,2
2007-05-15,2570.904427991887,898.1671872071089,3469.071615198996,2
2007-05-16,2604.842880224569,890.0847841734976,3494.9276643980666,2
2007-05-17,2604.842880224569,889.1053249807176,3493.9482052052863,2
2007-05-18,2604.842880224569,918.6730552476979,3523.515935472267,2
2007-05-21,2604.842880224569,923.599388609603,3528.442268834172,2
2007-05-22,2604.842880224569,927.2019830002989,3532.044863224868,2
2007-05-23,2604.842880224569,924.8605109241903,3529.7033911487592,2
2007-05-24,2604.842880224569,888.4199633500073,3493.2628435745764,2
2007-05-25,2604.842880224569,917.696954392369,3522.5398346169377,2
2007-05-29,2629.361332030123,902.9112435585466,3532.2725755886695,2
2007-05-30,2657.7555265807296,897.7481617513373,3555.5036883320668,2
2007-05-31,2657.7555265807296,897.6411517224881,3555.3966783032174,2
2007-06-01,2657.7555265807296,912.1449600459146,3569.900486626644,2
2007-06-04,2657.7555265807296,916.6410112724657,3574.3965378531952,2
2007-06-05,2657.7555265807296,901.1382564621299,3558.8937830428595,2
2007-06-06,2657.7555265807296,862.5242196450561,3520.279746225786,2
2007-06-07,2657.7555265807296,772.5294565900281,3430.2849831707576,2
2007-06-08,2657.7555265807296,841.4551854839403,3499.2107120646697,2
2007-06-11,2657.7555265807296,853.1795374482398,3510.9350640289695,2
2007-06-12,2657.7555265807296,787.3657687660441,3445.121295346774,2
2007-06-13,2657.7555265807296,876.135463246809,3533.8909898275388,2
2007-06-14,2657.7555265807296,908.2237856443451,3565.979312225075,2
2007-06-15,2689.294164578727,889.5500492207041,3578.8442137994307,2
2007-06-18,2689.294164578727,899.0764894736585,3588.3706540523854,2
2007-06-19,2689.294164578727,914.0729207906867,3603.3670853694134,2
2007-06-20,2689.294164578727,842.8384028498865,3532.1325674286136,2
2007-06-21,2689.294164578727,878.4312405111235,3567.7254050898505,2
2007-06-22,2689.294164578727,802.282677087912,3491.5768416666388,2
2007-06-25,2689.294164578727,784.5890199837236,3473.8831845624504,2
2007-06-26,2689.294164578727,753.4745868409544,3442.7687514196814,2
2007-06-27,2689.294164578727,839.3772425018822,3528.6714070806092,2
2007-06-28,2689.294164578727,842.7270658834116,3532.021230462138,2
2007-06-29,2689.294164578727,833.4148222153185,3522.7089867940454,2
2007-07-02,2735.0986833529255,868.6525400726066,3603.751223425532,2
2007-07-03,2735.0986833529255,888.0835331352289,3623.182216488154,2
2007-07-05,2735.0986833529255,889.7772670578681,3624.875950410794,2
2007-07-06,2735.0986833529255,910.7299502108352,3645.828633563761,2
2007-07-09,2735.0986833529255,920.4378368923344,3655.53652024526,2
2007-07-10,2735.0986833529255,851.3962524639005,3586.494935816826,2
2007-07-11,2735.0986833529255,888.0217740751688,3623.120457428094,2
2007-07-12,2772.6840133606984,908.549430365691,3681.2334437263894,2
2007-07-13,2798.43150463805,887.6886585074611,3686.120163145511,2
2007-07-16,2798.43150463805,883.7691142077738,3682.2006188458236,2
2007-07-17,2798.43150463805,884.8870150104732,3683.318519648523,2
2007-07-18,2798.43150463805,877.9675490304463,3676.399053668496,2
2007-07-19,2798.43150463805,898.3859197700898,3696.8174244081397,2
2007-07-20,2798.43150463805,850.2932779236517,3648.7247825617014,2
2007-07-23,2798.43150463805,872.7356983448556,3671.167202982905,2
2007-07-24,2798.43150463805,786.3745794106674,3584.806084048717,2
2007-07-25,2798.43150463805,811.1189389838163,3609.550443621866,2
2007-07-26,3105.577659365673,340.9488482344635,3446.5265076001365,1
2007-07-27,3366.2516794299204,0,3366.2516794299204,0
2007-07-30,3366.2516794299204,0,3366.2516794299204,0
2007-07-31,3366.2516794299204,0,3366.2516794299204,0
2007-08-01,3366.2516794299204,0,3366.2516794299204,0
2007-08-02,3366.2516794299204,0,3366.2516794299204,0
2007-08-03,3366.2516794299204,0,3366.2516794299204,0
2007-08-06,3366.2516794299204,0,3366.2516794299204,0
2007-08-07,3366.2516794299204,0,3366.2516794299204,0
2007-08-08,3366.2516794299204,0,3366.2516794299204,0
2007-08-09,3366.2516794299204,0,3366.2516794299204,0
2007-08-10,3366.2516794299204,0,3366.2516794299204,0
2007-08-13,3366.2516794299204,0,3366.2516794299204,0
2007-08-14,3366.2516794299204,0,3366.2516794299204,0
2007-08-15,3366.2516794299204,0,3366.2516794299204,0
2007-08-16,3366.2516794299204,0,3366.2516794299204,0
2007-08-17,3366.2516794299204,0,3366.2516794299204,0
2007-08-20,3366.2516794299204,0,3366.2516794299204,0
2007-08-21,3366.2516794299204,0,3366.2516794299204,0
2007-08-22,3366.2516794299204,0,3366.2516794299204,0
2007-08-23,3366.2516794299204,0,3366.2516794299204,0
2007-08-24,3366.2516794299204,0,3366.2516794299204,0
2007-08-27,3366.2516794299204,0,3366.2516794299204,0
2007-08-28,3366.2516794299204,0,3366.2516794299204,0
2007-08-29,3366.2516794299204,0,3366.2516794299204,0
2007-08-30,3366.2516794299204,0,3366.2516794299204,0
2007-08-31,3366.2516794299204,0,3366.2516794299204,0
2007-09-04,2921.5219098784833,439.4297695514371,3360.95167942992,1
2007-09-05,2921.5219098784833,427.99125211138005,3349.5131619898634,1
2007-09-06,2921.5219098784833,432.5435735333045,3354.0654834117877,1
2007-09-07,2921.5219098784833,414.7680151476507,3336.289925026134,1
2007-09-10,2921.5219098784833,412.88905670024076,3334.410966578724,1
2007-09-11,2921.5219098784833,428.4185101797263,3349.9404200582094,1
2007-09-12,2921.5219098784833,429.31000952505406,3350.8319194035375,1
2007-09-13,2477.065465213078,876.8788676012498,3353.944332814328,2
2007-09-14,2477.065465213078,877.6959892868273,3354.761454499905,2
2007-09-17,2477.065465213078,868.3033661645421,3345.36883137762,2
2007-09-18,2477.065465213078,935.8988403851652,3412.9643055982433,2
2007-09-19,2509.3560581396,906.9246656361049,3416.280723775705,2
2007-09-20,2509.3560581396,896.2784496919145,3405.6345078315144,2
2007-09-21,2538.5987230252476,876.564720120681,3415.163443145929,2
2007-09-24,2538.5987230252476,866.9711054749548,3405.5698285002027,2
2007-09-25,2538.5987230252476,871.983426887861,3410.582149913109,2
2007-09-26,2538.5987230252476,892.2076904694197,3430.806413494667,2
2007-09-27,2538.5987230252476,906.8535197558606,3445.452242781108,2
2007-09-28,2538.5987230252476,895.2264661911329,3433.8251892163807,2
2007-10-01,2538.5987230252476,927.2990347038742,3465.8977577291216,2
2007-10-02,2538.5987230252476,924.7072781480163,3463.306001173264,2
2007-10-03,2538.5987230252476,917.5023224580846,3456.101045483332,2
2007-10-04,2538.5987230252476,926.4830803426153,3465.081803367863,2
2007-10-05,3048.0707129945736,436.653634282732,3484.7243472773057,1
2007-10-08,2603.8799700155155,871.6397783368602,3475.5197483523757,2
2007-10-09,2603.8799700155155,900.9172761151326,3504.797246130648,2
2007-10-10,2603.8799700155155,894.646264909758,3498.5262349252735,2
2007-10-11,2603.8799700155155,869.6864384731314,3473.5664084886466,2
2007-10-12,2603.8799700155155,889.3242120455927,3493.2041820611084,2
2007-10-15,2603.8799700155155,864.7121526428705,3468.592122658386,2
2007-10-16,2603.8799700155155,843.8085296847948,3447.6884997003103,2
2007-10-17,2603.8799700155155,859.4263887367117,3463.3063587522274,2
2007-10-18,2603.8799700155155,859.4843030626375,3463.364273078153,2
2007-10-19,2603.8799700155155,743.6039288666116,3347.483898882127,2
2007-10-22,2603.8799700155155,763.9240618379318,3367.804031853447,2
2007-10-23,2603.8799700155155,810.159920242749,3414.0398902582647,2
2007-10-24,2603.8799700155155,799.5137692131323,3403.393739228648,2
2007-10-25,2603.8799700155155,795.3880935151748,3399.26806353069,2
2007-10-26,2603.8799700155155,865.3105684486121,3469.1905384641277,2
2007-10-29,2603.8799700155155,890.2289115870249,3494.1088816025404,2
2007-10-30,2603.8799700155155,863.5191803905586,3467.399150406074,2
2007-10-31,2603.8799700155155,929.7214340851892,3533.6014041007047,2
2007-11-01,2603.8799700155155,788.0811644575526,3391.9611344730683,2
2007-11-02,2603.8799700155155,799.8915341161699,3403.771504131685,2
2007-11-05,2603.8799700155155,783.7566418219097,3387.6366118374253,2
2007-11-06,2603.8799700155155,902.0977913526547,3505.97776136817,2
2007-11-07,3176.5581758787985,0,3176.5581758787985,0
2007-11-08,3176.5581758787985,0,3176.5581758787985,0
2007-11-09,3176.5581758787985,0,3176.5581758787985,0
2007-11-12,3176.5581758787985,0,3176.5581758787985,0
2007-11-13,3176.5581758787985,0,3176.5581758787985,0
2007-11-14,3176.5581758787985,0,3176.5581758787985,0
2007-11-15,3176.5581758787985,0,3176.5581758787985,0
2007-11-16,3176.5581758787985,0,3176.5581758787985,0
2007-11-19,3176.5581758787985,0,3176.5581758787985,0
2007-11-20,3176.5581758787985,0,3176.5581758787985,0
2007-11-21,3176.5581758787985,0,3176.5581758787985,0
2007-11-23,3176.5581758787985,0,3176.5581758787985,0
2007-11-26,3176.5581758787985,0,3176.5581758787985,0
2007-11-27,3176.5581758787985,0,3176.5581758787985,0
2007-11-28,3176.5581758787985,0,3176.5581758787985,0
2007-11-29,3176.5581758787985,0,3176.5581758787985,0
2007-11-30,3176.5581758787985,0,3176.5581758787985,0
2007-12-03,3176.5581758787985,0,3176.5581758787985,0
2007-12-04,3176.5581758787985,0,3176.5581758787985,0
2007-12-05,3176.5581758787985,0,3176.5581758787985,0
2007-12-06,2736.3419594703532,434.91621640844505,3171.2581758787983,1
2007-12-07,2291.2380587266093,873.7158515709855,3164.953910297595,2
2007-12-10,2291.2380587266093,890.4057423454667,3181.643801072076,2
2007-12-11,2291.2380587266093,829.9410897213054,3121.1791484479145,2
2007-12-12,2291.2380587266093,847.6830537165324,3138.9211124431417,2
2007-12-13,2291.2380587266093,851.0550426377922,3142.2931013644015,2
2007-12-14,2291.2380587266093,814.5380236194572,3105.7760823460667,2
2007-12-17,2291.2380587266093,762.7011888680051,3053.9392475946142,2
2007-12-18,2291.2380587266093,788.7441115579072,3079.9821702845165,2
2007-12-19,2291.2380587266093,786.4449793670556,3077.683038093665,2
2007-12-20,2291.2380587266093,810.8401153086031,3102.078174035212,2
