date,cash,positionsValue,totalEquity,openPositionCount
2007-01-03,3300,0,3300,0
2007-01-04,3300,0,3300,0
2007-01-05,3300,0,3300,0
2007-01-08,3300,0,3300,0
2007-01-09,3300,0,3300,0
2007-01-10,3300,0,3300,0
2007-01-11,3300,0,3300,0
2007-01-12,3300,0,3300,0
2007-01-16,3300,0,3300,0
2007-01-17,3300,0,3300,0
2007-01-18,3300,0,3300,0
2007-01-19,3300,0,3300,0
2007-01-22,3300,0,3300,0
2007-01-23,3300,0,3300,0
2007-01-24,3300,0,3300,0
2007-01-25,3300,0,3300,0
2007-01-26,3300,0,3300,0
2007-01-29,3300,0,3300,0
2007-01-30,3300,0,3300,0
2007-01-31,3300,0,3300,0
2007-02-01,3300,0,3300,0
2007-02-02,3300,0,3300,0
2007-02-05,3300,0,3300,0
2007-02-06,3300,0,3300,0
2007-02-07,3300,0,3300,0
2007-02-08,3300,0,3300,0
2007-02-09,3300,0,3300,0
2007-02-12,3300,0,3300,0
2007-02-13,3300,0,3300,0
2007-02-14,3300,0,3300,0
2007-02-15,3300,0,3300,0
2007-02-16,3300,0,3300,0
2007-02-20,3300,0,3300,0
2007-02-21,3300,0,3300,0
2007-02-22,3300,0,3300,0
2007-02-23,3300,0,3300,0
2007-02-26,3300,0,3300,0
2007-02-27,3300,0,3300,0
2007-02-28,3300,0,3300,0
2007-03-01,3300,0,3300,0
2007-03-02,3300,0,3300,0
2007-03-05,3300,0,3300,0
2007-03-06,3300,0,3300,0
2007-03-07,3300,0,3300,0
2007-03-08,3300,0,3300,0
2007-03-09,3300,0,3300,0
2007-03-12,3300,0,3300,0
2007-03-13,3300,0,3300,0
2007-03-14,3300,0,3300,0
2007-03-15,3300,0,3300,0
2007-03-16,3300,0,3300,0
2007-03-19,3300,0,3300,0
2007-03-20,3300,0,3300,0
2007-03-21,2881.8281784304277,407.5718215695723,3289.4,1
2007-03-22,2462.7178766152565,808.8852868834203,3271.6031634986766,2
2007-03-23,2462.7178766152565,810.6699542299691,3273.387830845226,2
2007-03-26,2462.7178766152565,819.0213519294882,3281.739228544745,2
2007-03-27,2462.7178766152565,826.9612184705934,3289.67909508585,2
2007-03-28,2462.7178766152565,800.7406776176499,3263.4585542329064,2
2007-03-29,2462.7178766152565,804.3566580336035,3267.07453464886,2
2007-03-30,2462.7178766152565,817.3665437436184,3280.084420358875,2
2007-04-02,2462.7178766152565,836.0538222484146,3298.771698863671,2
2007-04-03,2462.7178766152565,861.2390868320181,3323.9569634472746,2
2007-04-04,2462.7178766152565,871.4185159920116,3334.136392607268,2
2007-04-05,2462.7178766152565,872.7873869068515,3335.505263522108,2
2007-04-09,2462.7178766152565,905.3361226776082,3368.053999292865,2
2007-04-10,2513.1367503469182,853.7208781530143,3366.8576284999326,2
2007-04-11,2513.1367503469182,851.7055363577431,3364.842286704661,2
2007-04-12,2569.4275821411106,798.4404460410756,3367.868028182186,2
2007-04-13,2569.4275821411106,807.7515063820945,3377.179088523205,2
2007-04-16,2569.4275821411106,778.9520224210203,3348.379604562131,2
2007-04-17,2569.4275821411106,765.67581715136,3335.1033992924704,2
2007-04-18,2569.4275821411106,759.0302233750996,3328.45780551621,2
2007-04-19,2569.4275821411106,772.0467367459423,3341.474318887053,2
2007-04-20,2569.4275821411106,715.2796743049909,3284.7072564461014,2
2007-04-23,2569.4275821411106,734.2553774166056,3303.6829595577165,2
2007-04-24,2569.4275821411106,744.4715007253799,3313.8990828664905,2
2007-04-25,2569.4275821411106,646.898453768135,3216.3260359092455,2
2007-04-26,2569.4275821411106,675.1753903576789,3244.6029724987893,2
2007-04-27,2569.4275821411106,694.3654814096112,3263.793063550722,2
2007-04-30,2569.4275821411106,766.8902216472168,3336.317803788327,2
2007-05-01,2569.4275821411106,770.422938249212,3339.850520390323,2
2007-05-02,2569.4275821411106,716.4864246764276,3285.9140068175384,2
2007-05-03,2569.4275821411106,668.5939006875602,3238.0214828286707,2
2007-05-04,2569.4275821411106,650.674483012169,3220.10206515328,2
2007-05-07,2569.4275821411106,638.8034146410982,3208.230996782209,2
2007-05-08,2569.4275821411106,670.5416580929684,3239.969240234079,2
2007-05-09,2464.1809440420475,720.195574014581,3184.3765180566284,2
2007-05-10,2464.1809440420475,839.6342513390114,3303.815195381059,2
2007-05-11,2464.1809440420475,789.6356237017324,3253.81656774378,2
2007-05-14,2464.1809440420475,842.3000923876909,3306.481036429738,2
2007-05-15,2525.054562594368,821.2788507265334,3346.333413320901,2
2007-05-16,2525.054562594368,819.5397571860194,3344.594319780387,2
2007-05-17,2525.054562594368,828.1931663678066,3353.2477289621743,2
2007-05-18,2525.054562594368,830.1199015759042,3355.174464170272,2
2007-05-21,2525.054562594368,828.7546703610585,3353.8092329554265,2
2007-05-22,2525.054562594368,845.9320241830401,3370.986586777408,2
2007-05-23,2525.054562594368,853.7949585735166,3378.8495211678846,2
2007-05-24,2525.054562594368,864.4553359146626,3389.5098985090303,2
2007-05-25,2525.054562594368,879.1564509741248,3404.2110135684925,2
2007-05-29,2563.1637767474467,850.2062285122446,3413.3700052596914,2
2007-05-30,2563.1637767474467,842.1853792396737,3405.3491559871204,2
2007-05-31,2563.1637767474467,842.1966332367238,3405.3604099841705,2
2007-06-01,2563.1637767474467,835.5039339259929,3398.6677106734396,2
2007-06-04,2563.1637767474467,834.8805292484267,3398.0443059958734,2
2007-06-05,2563.1637767474467,866.0000061312904,3429.163782878737,2
2007-06-06,2612.1536370765025,815.2773596789161,3427.4309967554186,2
2007-06-07,2612.1536370765025,787.3577161583692,3399.5113532348714,2
2007-06-08,2612.1536370765025,832.7007569864334,3444.854394062936,2
2007-06-11,2612.1536370765025,849.0371179230317,3461.190754999534,2
2007-06-12,2612.1536370765025,809.809213822329,3421.9628508988317,2
2007-06-13,2612.1536370765025,859.1798325448146,3471.333469621317,2
2007-06-14,2612.1536370765025,882.9306349106408,3495.0842719871434,2
2007-06-15,2612.1536370765025,868.4603967304679,3480.6140338069704,2
2007-06-18,2668.9295747733267,836.0822355588423,3505.0118103321693,2
2007-06-19,2668.9295747733267,851.6319670216986,3520.5615417950253,2
2007-06-20,2668.9295747733267,830.5992140605648,3499.5287888338917,2
2007-06-21,2668.9295747733267,844.5377933608954,3513.467368134222,2
2007-06-22,2668.9295747733267,812.0882567565043,3481.017831529831,2
2007-06-25,2668.9295747733267,803.4755347525197,3472.4051095258465,2
2007-06-26,2668.9295747733267,776.7452894595756,3445.674864232902,2
2007-06-27,2668.9295747733267,841.3439327880961,3510.273507561423,2
2007-06-28,2668.9295747733267,844.5861480942444,3513.515722867571,2
2007-06-29,2668.9295747733267,836.5215136835827,3505.4510884569095,2
2007-07-02,2735.9190131675355,809.6563942036021,3545.5754073711378,2
2007-07-03,2735.9190131675355,821.1202475559073,3557.0392607234426,2
2007-07-05,2735.9190131675355,821.4554219537931,3557.3744351213286,2
2007-07-06,2735.9190131675355,838.9672509798984,3574.886264147434,2
2007-07-09,2735.9190131675355,850.3241614325357,3586.243174600071,2
2007-07-10,2735.9190131675355,816.4931649681828,3552.412178135718,2
2007-07-11,2735.9190131675355,843.1309855384986,3579.049998706034,2
2007-07-12,2771.6012560224067,787.6154696477365,3559.216725670143,2
2007-07-13,2771.6012560224067,788.6917211474008,3560.2929771698073,2
2007-07-16,2771.6012560224067,810.139889837656,3581.7411458600627,2
2007-07-17,2771.6012560224067,817.5121080824123,3589.113364104819,2
2007-07-18,2771.6012560224067,825.8709283105013,3597.472184332908,2
2007-07-19,2771.6012560224067,832.1377205320503,3603.7389765544567,2
2007-07-20,2771.6012560224067,844.3339193117974,3615.9351753342044,2
2007-07-23,2771.6012560224067,861.1392152400938,3632.7404712625003,2
2007-07-24,2771.6012560224067,840.4546430584146,3612.0558990808213,2
2007-07-25,2771.6012560224067,860.5085489992537,3632.1098050216606,2
2007-07-26,2771.6012560224067,754.9228010359557,3526.5240570583624,2
2007-07-27,3076.0481416883295,340.672810743548,3416.7209524318773,1
2007-07-30,3076.0481416883295,389.4515308737573,3465.4996725620867,1
2007-07-31,3076.0481416883295,326.3422701795207,3402.39041186785,1
2007-08-01,3076.0481416883295,365.4643428126484,3441.5124845009777,1
2007-08-02,3076.0481416883295,398.7288728304438,3474.7770145187733,1
2007-08-03,3277.0747184623388,0,3277.0747184623388,0
2007-08-06,3277.0747184623388,0,3277.0747184623388,0
2007-08-07,3277.0747184623388,0,3277.0747184623388,0
2007-08-08,3277.0747184623388,0,3277.0747184623388,0
2007-08-09,3277.0747184623388,0,3277.0747184623388,0
2007-08-10,3277.0747184623388,0,3277.0747184623388,0
2007-08-13,3277.0747184623388,0,3277.0747184623388,0
2007-08-14,3277.0747184623388,0,3277.0747184623388,0
2007-08-15,3277.0747184623388,0,3277.0747184623388,0
2007-08-16,3277.0747184623388,0,3277.0747184623388,0
2007-08-17,3277.0747184623388,0,3277.0747184623388,0
2007-08-20,3277.0747184623388,0,3277.0747184623388,0
2007-08-21,3277.0747184623388,0,3277.0747184623388,0
2007-08-22,3277.0747184623388,0,3277.0747184623388,0
2007-08-23,3277.0747184623388,0,3277.0747184623388,0
2007-08-24,3277.0747184623388,0,3277.0747184623388,0
2007-08-27,3277.0747184623388,0,3277.0747184623388,0
2007-08-28,3277.0747184623388,0,3277.0747184623388,0
2007-08-29,3277.0747184623388,0,3277.0747184623388,0
2007-08-30,3277.0747184623388,0,3277.0747184623388,0
2007-08-31,3277.0747184623388,0,3277.0747184623388,0
2007-09-04,2864.4383987323013,402.0363197300377,3266.474718462339,1
2007-09-05,2864.4383987323013,409.02523560007745,3273.4636343323787,1
2007-09-06,2864.4383987323013,409.245576391359,3273.6839751236603,1
2007-09-07,2864.4383987323013,412.12879076362714,3276.5671894959282,1
2007-09-10,2864.4383987323013,412.0071787362107,3276.445577468512,1
2007-09-11,2864.4383987323013,416.3837102548311,3280.822108987132,1
2007-09-12,2864.4383987323013,419.2100364070037,3283.648435139305,1
2007-09-13,2453.738732701357,816.5315281253513,3270.270260826708,2
2007-09-14,2453.738732701357,818.9317900152888,3272.670522716646,2
2007-09-17,2453.738732701357,828.9136349021762,3282.652367603533,2
2007-09-18,2453.738732701357,824.7186223503561,3278.4573550517134,2
2007-09-19,2453.738732701357,806.7837618013302,3260.5224945026876,2
2007-09-20,2453.738732701357,841.9605487391678,3295.699281440525,2
2007-09-21,2453.738732701357,854.9376427439934,3308.6763754453505,2
2007-09-24,2498.7663961506328,836.161002737995,3334.927398888628,2
2007-09-25,2498.7663961506328,856.022900014463,3354.789296165096,2
2007-09-26,2498.7663961506328,861.1187834779613,3359.885179628594,2
2007-09-27,2498.7663961506328,864.3496350277203,3363.1160311783533,2
2007-09-28,2498.7663961506328,864.3276438434445,3363.0940399940773,2
2007-10-01,2498.7663961506328,826.390975859071,3325.157372009704,2
2007-10-02,2498.7663961506328,824.1534923482064,3322.919888498839,2
2007-10-03,2498.7663961506328,853.1767491899046,3351.9431453405373,2
2007-10-04,2498.7663961506328,858.2330011260526,3356.999397276685,2
2007-10-05,2498.7663961506328,838.6037051854296,3337.3701013360624,2
2007-10-08,2549.104221865882,817.6274839765604,3366.7317058424424,2
2007-10-09,2549.104221865882,814.2953800187531,3363.3996018846356,2
2007-10-10,2549.104221865882,819.1341201802463,3368.2383420461283,2
2007-10-11,2549.104221865882,806.8730719342028,3355.977293800085,2
2007-10-12,2549.104221865882,815.2371201590474,3364.34134202493,2
2007-10-15,2549.104221865882,848.0690301170548,3397.173251982937,2
2007-10-16,2597.8908352413728,798.0174744683009,3395.9083097096736,2
2007-10-17,2597.8908352413728,822.4020843509855,3420.2929195923584,2
2007-10-18,2597.8908352413728,829.2344991604347,3427.1253344018073,2
2007-10-19,2597.8908352413728,784.1172923762433,3382.008127617616,2
2007-10-22,2597.8908352413728,801.4999961414907,3399.3908313828633,2
2007-10-23,2597.8908352413728,827.8309159172386,3425.7217511586114,2
2007-10-24,2597.8908352413728,823.8771125964106,3421.767947837783,2
2007-10-25,2597.8908352413728,822.1917296729799,3420.0825649143526,2
2007-10-26,2597.8908352413728,857.2148191893302,3455.105654430703,2
2007-10-29,2597.8908352413728,871.6028875351074,3469.4937227764804,2
2007-10-30,2597.8908352413728,861.1078697015006,3458.9987049428732,2
2007-10-31,2643.3126498179345,842.8909840686723,3486.203633886607,2
2007-11-01,2643.3126498179345,805.0760307700867,3448.388680588021,2
2007-11-02,2643.3126498179345,809.284605455759,3452.5972552736935,2
2007-11-05,2643.3126498179345,799.7166880067841,3443.029337824719,2
2007-11-06,2643.3126498179345,841.4445517682498,3484.7572015861842,2
2007-11-07,2643.3126498179345,735.8683944655827,3379.181044283517,2
2007-11-08,2643.3126498179345,731.5259136467278,3374.838563464662,2
2007-11-09,2643.3126498179345,655.8204931069404,3299.133142924875,2
2007-11-12,3219.531048338462,0,3219.531048338462,0
2007-11-13,3219.531048338462,0,3219.531048338462,0
2007-11-14,3219.531048338462,0,3219.531048338462,0
2007-11-15,3219.531048338462,0,3219.531048338462,0
2007-11-16,3219.531048338462,0,3219.531048338462,0
2007-11-19,3219.531048338462,0,3219.531048338462,0
2007-11-20,3219.531048338462,0,3219.531048338462,0
2007-11-21,3219.531048338462,0,3219.531048338462,0
2007-11-23,3219.531048338462,0,3219.531048338462,0
2007-11-26,3219.531048338462,0,3219.531048338462,0
2007-11-27,3219.531048338462,0,3219.531048338462,0
2007-11-28,3219.531048338462,0,3219.531048338462,0
2007-11-29,3219.531048338462,0,3219.531048338462,0
2007-11-30,3219.531048338462,0,3219.531048338462,0
2007-12-03,3219.531048338462,0,3219.531048338462,0
2007-12-04,3219.531048338462,0,3219.531048338462,0
2007-12-05,3219.531048338462,0,3219.531048338462,0
2007-12-06,2814.578908663198,394.35213967526386,3208.931048338462,1
2007-12-07,2400.3054431145083,803.9040092010432,3204.2094523155515,2
2007-12-10,2400.3054431145083,795.4719567728755,3195.7773998873836,2
2007-12-11,2400.3054431145083,816.2144632415188,3216.519906356027,2
2007-12-12,2400.3054431145083,825.661483069236,3225.9669261837444,2
2007-12-13,2400.3054431145083,827.4251888556726,3227.730631970181,2
2007-12-14,2400.3054431145083,817.8689131115448,3218.174356226053,2
2007-12-17,2400.3054431145083,777.6327163319643,3177.9381594464726,2
2007-12-18,2400.3054431145083,800.0347304501367,3200.340173564645,2
