date,cash,positionsValue,totalEquity,openPositionCount
2007-01-03,3300,0,3300,0
2007-01-04,3300,0,3300,0
2007-01-05,3300,0,3300,0
2007-01-08,3300,0,3300,0
2007-01-09,3300,0,3300,0
2007-01-10,3300,0,3300,0
2007-01-11,3300,0,3300,0
2007-01-12,3300,0,3300,0
2007-01-16,3300,0,3300,0
2007-01-17,3300,0,3300,0
2007-01-18,3300,0,3300,0
2007-01-19,3300,0,3300,0
2007-01-22,3300,0,3300,0
2007-01-23,3300,0,3300,0
2007-01-24,3300,0,3300,0
2007-01-25,3300,0,3300,0
2007-01-26,3300,0,3300,0
2007-01-29,3300,0,3300,0
2007-01-30,3300,0,3300,0
2007-01-31,3300,0,3300,0
2007-02-01,3300,0,3300,0
2007-02-02,3300,0,3300,0
2007-02-05,3300,0,3300,0
2007-02-06,3300,0,3300,0
2007-02-07,3300,0,3300,0
2007-02-08,3300,0,3300,0
2007-02-09,3300,0,3300,0
2007-02-12,3300,0,3300,0
2007-02-13,3300,0,3300,0
2007-02-14,3300,0,3300,0
2007-02-15,3300,0,3300,0
2007-02-16,3300,0,3300,0
2007-02-20,3300,0,3300,0
2007-02-21,3300,0,3300,0
2007-02-22,3300,0,3300,0
2007-02-23,3300,0,3300,0
2007-02-26,3300,0,3300,0
2007-02-27,3300,0,3300,0
2007-02-28,3300,0,3300,0
2007-03-01,3300,0,3300,0
2007-03-02,3300,0,3300,0
2007-03-05,3300,0,3300,0
2007-03-06,3300,0,3300,0
2007-03-07,3300,0,3300,0
2007-03-08,3300,0,3300,0
2007-03-09,3300,0,3300,0
2007-03-12,3300,0,3300,0
2007-03-13,3300,0,3300,0
2007-03-14,3300,0,3300,0
2007-03-15,3300,0,3300,0
2007-03-16,3300,0,3300,0
2007-03-19,3300,0,3300,0
2007-03-20,3300,0,3300,0
2007-03-21,2865.449761610804,423.95023838919604,3289.4,1
2007-03-22,2428.104535805992,844.8078872553456,3272.9124230613374,2
2007-03-23,2428.104535805992,845.9976022332005,3274.102138039192,2
2007-03-26,2428.104535805992,852.377432404911,3280.481968210903,2
2007-03-27,2428.104535805992,856.3042618991553,3284.408797705147,2
2007-03-28,2428.104535805992,827.1152394721178,3255.2197752781094,2
2007-03-29,2428.104535805992,835.1317000028939,3263.236235808886,2
2007-03-30,2428.104535805992,841.8931814946495,3269.9977173006414,2
2007-04-02,2428.104535805992,858.1569334979904,3286.2614693039823,2
2007-04-03,2428.104535805992,885.8210874201807,3313.9256232261723,2
2007-04-04,2428.104535805992,894.3953381167063,3322.499873922698,2
2007-04-05,2428.104535805992,896.0645191106125,3324.169054916604,2
2007-04-09,2428.104535805992,923.039034228181,3351.1435700341726,2
2007-04-10,2469.0070110840793,879.4694096950047,3348.476420779084,2
2007-04-11,2469.0070110840793,875.8900729399581,3344.897084024037,2
2007-04-12,2513.5330170779816,833.5779621861851,3347.110979264167,2
2007-04-13,2513.5330170779816,839.8445354135447,3353.3775524915263,2
2007-04-16,2513.5330170779816,799.7243530637076,3313.257370141689,2
2007-04-17,2513.5330170779816,782.662068208539,3296.1950852865207,2
2007-04-18,2513.5330170779816,774.5782236618493,3288.111240739831,2
2007-04-19,2513.5330170779816,790.1346698211,3303.6676868990817,2
2007-04-20,2513.5330170779816,714.6204727246832,3228.153489802665,2
2007-04-23,2513.5330170779816,738.9280086160368,3252.4610256940186,2
2007-04-24,2513.5330170779816,750.6532239926989,3264.186241070681,2
2007-04-25,2695.7597888141827,431.10482491434493,3126.8646137285277,1
2007-04-26,2264.1686602959053,857.8331128399144,3122.00177313582,2
2007-04-27,2264.1686602959053,868.604583106829,3132.7732434027344,2
2007-04-30,2264.1686602959053,847.3657009079775,3111.534361203883,2
2007-05-01,2264.1686602959053,863.3487670876372,3127.5174273835423,2
2007-05-02,2264.1686602959053,874.3137293185721,3138.482389614477,2
2007-05-03,2264.1686602959053,870.2683877315958,3134.437048027501,2
2007-05-04,2264.1686602959053,872.9375607863774,3137.106221082283,2
2007-05-07,2264.1686602959053,875.9166433411476,3140.0853036370527,2
2007-05-08,2264.1686602959053,885.7761918928003,3149.9448521887057,2
2007-05-09,2264.1686602959053,886.9576837245058,3151.126344020411,2
2007-05-10,2264.1686602959053,899.3457152277856,3163.514375523691,2
2007-05-11,2264.1686602959053,913.5706260222897,3177.739286318195,2
2007-05-14,2264.1686602959053,917.8513545161561,3182.020014812061,2
2007-05-15,2264.1686602959053,924.3385152652125,3188.507175561118,2
2007-05-16,2296.6001764321823,878.831591179863,3175.4317676120454,2
2007-05-17,2296.6001764321823,887.7005407473416,3184.300717179524,2
2007-05-18,2296.6001764321823,884.4419132955788,3181.042089727761,2
2007-05-21,2296.6001764321823,889.1076191818827,3185.7077956140647,2
2007-05-22,2321.591465130248,867.0898591473353,3188.6813242775834,2
2007-05-23,2321.591465130248,869.3856285654399,3190.9770936956875,2
2007-05-24,2321.591465130248,853.9768687841047,3175.5683339143525,2
2007-05-25,2321.591465130248,875.1587123691487,3196.7501774993966,2
2007-05-29,2321.591465130248,887.6156758833282,3209.207141013576,2
2007-05-30,2321.591465130248,901.7772899316174,3223.368755061865,2
2007-05-31,2321.591465130248,902.4394909521761,3224.030956082424,2
2007-06-01,2321.591465130248,904.7423952854288,3226.3338604156766,2
2007-06-04,2321.591465130248,908.3872031874871,3229.978668317735,2
2007-06-05,2367.4016510779516,861.613165032283,3229.0148161102343,2
2007-06-06,2367.4016510779516,846.7138229182997,3214.1154739962512,2
2007-06-07,2367.4016510779516,770.4522418048348,3137.8538928827866,2
2007-06-08,2367.4016510779516,836.1063211918772,3203.5079722698288,2
2007-06-11,2367.4016510779516,849.1626503955788,3216.5643014735306,2
2007-06-12,2367.4016510779516,785.6465700461517,3153.0482211241033,2
2007-06-13,2367.4016510779516,870.8292721007965,3238.230923178748,2
2007-06-14,2400.6408249259034,853.8245922614025,3254.465417187306,2
2007-06-15,2400.6408249259034,843.6331425593448,3244.2739674852482,2
2007-06-18,2400.6408249259034,871.6369182138586,3272.277743139762,2
2007-06-19,2400.6408249259034,885.679410802154,3286.3202357280575,2
2007-06-20,2400.6408249259034,846.9601901955164,3247.6010151214196,2
2007-06-21,2400.6408249259034,870.3160523862447,3270.956877312148,2
2007-06-22,2400.6408249259034,815.1374450478604,3215.7782699737636,2
2007-06-25,2400.6408249259034,798.557529276155,3199.1983542020585,2
2007-06-26,2400.6408249259034,771.5196964957705,3172.160521421674,2
2007-06-27,2400.6408249259034,842.3684161525921,3243.0092410784955,2
2007-06-28,2400.6408249259034,843.8983497269212,3244.539174652825,2
2007-06-29,2400.6408249259034,833.5474560912539,3234.1882810171574,2
2007-07-02,2426.8860072271773,866.3469568985527,3293.23296412573,2
2007-07-03,2426.8860072271773,877.0457422345373,3303.9317494617144,2
2007-07-05,2426.8860072271773,878.1855353250174,3305.071542552195,2
2007-07-06,2456.267895822804,849.7944137820276,3306.0623096048316,2
2007-07-09,2456.267895822804,852.3482160694444,3308.6161118922482,2
2007-07-10,2456.267895822804,834.2161015892218,3290.483997412026,2
2007-07-11,2456.267895822804,850.1067133559043,3306.374609178708,2
2007-07-12,2456.267895822804,809.1658553141812,3265.433751136985,2
2007-07-13,2456.267895822804,803.2706341059973,3259.538529928801,2
2007-07-16,2456.267895822804,832.5052386917848,3288.7731345145885,2
2007-07-17,2456.267895822804,840.9685660336339,3297.236461856438,2
2007-07-18,2456.267895822804,854.0311783555835,3310.2990741783874,2
2007-07-19,2456.267895822804,852.3494206417554,3308.6173164645593,2
2007-07-20,2456.267895822804,880.9204467304639,3337.188342553268,2
2007-07-23,2456.267895822804,894.7974708028833,3351.065366625687,2
2007-07-24,2456.267895822804,868.8713699473535,3325.139265770157,2
2007-07-25,2456.267895822804,890.9541371986388,3347.2220330214427,2
2007-07-26,2456.267895822804,774.9905216878983,3231.258417510702,2
2007-07-27,3111.2924756639704,0,3111.2924756639704,0
2007-07-30,3111.2924756639704,0,3111.2924756639704,0
2007-07-31,3111.2924756639704,0,3111.2924756639704,0
2007-08-01,3111.2924756639704,0,3111.2924756639704,0
2007-08-02,3111.2924756639704,0,3111.2924756639704,0
2007-08-03,3111.2924756639704,0,3111.2924756639704,0
2007-08-06,3111.2924756639704,0,3111.2924756639704,0
2007-08-07,3111.2924756639704,0,3111.2924756639704,0
2007-08-08,3111.2924756639704,0,3111.2924756639704,0
2007-08-09,3111.2924756639704,0,3111.2924756639704,0
2007-08-10,3111.2924756639704,0,3111.2924756639704,0
2007-08-13,3111.2924756639704,0,3111.2924756639704,0
2007-08-14,3111.2924756639704,0,3111.2924756639704,0
2007-08-15,3111.2924756639704,0,3111.2924756639704,0
2007-08-16,3111.2924756639704,0,3111.2924756639704,0
2007-08-17,3111.2924756639704,0,3111.2924756639704,0
2007-08-20,3111.2924756639704,0,3111.2924756639704,0
2007-08-21,3111.2924756639704,0,3111.2924756639704,0
2007-08-22,3111.2924756639704,0,3111.2924756639704,0
2007-08-23,3111.2924756639704,0,3111.2924756639704,0
2007-08-24,3111.2924756639704,0,3111.2924756639704,0
2007-08-27,3111.2924756639704,0,3111.2924756639704,0
2007-08-28,3111.2924756639704,0,3111.2924756639704,0
2007-08-29,3111.2924756639704,0,3111.2924756639704,0
2007-08-30,3111.2924756639704,0,3111.2924756639704,0
2007-08-31,3111.2924756639704,0,3111.2924756639704,0
2007-09-04,2662.5562646985527,438.1362109654176,3100.69247566397,1
2007-09-05,2662.5562646985527,433.90954070815815,3096.465805406711,1
2007-09-06,2662.5562646985527,436.7715397022771,3099.32780440083,1
2007-09-07,2662.5562646985527,422.89704975003644,3085.453314448589,1
2007-09-10,2662.5562646985527,421.0819740741832,3083.638238772736,1
2007-09-11,2662.5562646985527,433.7632480019778,3096.3195127005306,1
2007-09-12,2662.5562646985527,434.2986816876684,3096.854946386221,1
2007-09-13,2212.064104960635,880.1401048854141,3092.2042098460493,2
2007-09-14,2212.064104960635,880.8298509428263,3092.8939559034616,2
2007-09-17,2212.064104960635,876.78852293333,3088.8526278939653,2
2007-09-18,2212.064104960635,880.7428202419248,3092.80692520256,2
2007-09-19,2212.064104960635,856.65636108603,3068.720466046665,2
2007-09-20,2212.064104960635,894.3300092140021,3106.3941141746373,2
2007-09-21,2212.064104960635,900.4183187301963,3112.4824236908316,2
2007-09-24,2240.3417554570237,889.9955603418239,3130.3373157988476,2
2007-09-25,2240.3417554570237,901.7598559906244,3142.101611447648,2
2007-09-26,2240.3417554570237,905.9520591714365,3146.2938146284605,2
2007-09-27,2240.3417554570237,907.4091809333399,3147.7509363903637,2
2007-09-28,2240.3417554570237,908.0323729856475,3148.3741284426715,2
2007-10-01,2240.3417554570237,866.3649450294398,3106.7067004864634,2
2007-10-02,2240.3417554570237,864.824576087688,3105.1663315447117,2
2007-10-03,2240.3417554570237,895.6163342060452,3135.9580896630687,2
2007-10-04,2240.3417554570237,897.8166566434924,3138.158412100516,2
2007-10-05,2240.3417554570237,867.9130171565754,3108.254772613599,2
2007-10-08,2240.3417554570237,911.1895585655712,3151.531314022595,2
2007-10-09,2240.3417554570237,883.4489179523667,3123.7906734093904,2
2007-10-10,2240.3417554570237,899.9112587038603,3140.253014160884,2
2007-10-11,2240.3417554570237,914.8734297820724,3155.215185239096,2
2007-10-12,2240.3417554570237,911.0839685108285,3151.4257239678523,2
2007-10-15,2292.872700939369,896.9052569021958,3189.777957841565,2
2007-10-16,2292.872700939369,900.7328865944095,3193.605587533779,2
2007-10-17,2329.740553494701,865.4369213285706,3195.177474823272,2
2007-10-18,2329.740553494701,867.5655177589585,3197.30607125366,2
2007-10-19,2329.740553494701,803.1900459727007,3132.930599467402,2
2007-10-22,2329.740553494701,813.9280000686296,3143.6685535633305,2
2007-10-23,2329.740553494701,841.8508442181397,3171.5913977128407,2
2007-10-24,2329.740553494701,834.7262586457468,3164.466812140448,2
2007-10-25,2329.740553494701,831.5268718538266,3161.2674253485275,2
2007-10-26,2329.740553494701,872.185449471587,3201.9260029662883,2
2007-10-29,2329.740553494701,882.770012091486,3212.510565586187,2
2007-10-30,2329.740553494701,866.5912291791076,3196.3317826738084,2
2007-10-31,2329.740553494701,905.5300657940697,3235.270619288771,2
2007-11-01,2329.740553494701,819.2910685953514,3149.031622090052,2
2007-11-02,2329.740553494701,823.8158030923894,3153.5563565870907,2
2007-11-05,2329.740553494701,806.1135230307567,3135.854076525458,2
2007-11-06,2329.740553494701,864.7217330570732,3194.462286551774,2
2007-11-07,3041.969908661614,0,3041.969908661614,0
2007-11-08,3041.969908661614,0,3041.969908661614,0
2007-11-09,3041.969908661614,0,3041.969908661614,0
2007-11-12,3041.969908661614,0,3041.969908661614,0
2007-11-13,3041.969908661614,0,3041.969908661614,0
2007-11-14,3041.969908661614,0,3041.969908661614,0
2007-11-15,3041.969908661614,0,3041.969908661614,0
2007-11-16,3041.969908661614,0,3041.969908661614,0
2007-11-19,3041.969908661614,0,3041.969908661614,0
2007-11-20,3041.969908661614,0,3041.969908661614,0
2007-11-21,3041.969908661614,0,3041.969908661614,0
2007-11-23,3041.969908661614,0,3041.969908661614,0
2007-11-26,3041.969908661614,0,3041.969908661614,0
2007-11-27,3041.969908661614,0,3041.969908661614,0
2007-11-28,3041.969908661614,0,3041.969908661614,0
2007-11-29,3041.969908661614,0,3041.969908661614,0
2007-11-30,3041.969908661614,0,3041.969908661614,0
2007-12-03,3041.969908661614,0,3041.969908661614,0
2007-12-04,3041.969908661614,0,3041.969908661614,0
2007-12-05,3041.969908661614,0,3041.969908661614,0
2007-12-06,2602.1077342825147,429.26217437909963,3031.3699086616143,1
2007-12-07,2155.164914250355,867.8706772801148,3023.03559153047,2
2007-12-10,2155.164914250355,863.2128035190435,3018.3777177693987,2
2007-12-11,2155.164914250355,842.8539454166564,2998.0188596670114,2
2007-12-12,2155.164914250355,857.2294618317505,3012.3943760821057,2
2007-12-13,2155.164914250355,859.8579474180094,3015.0228616683644,2
2007-12-14,2155.164914250355,827.3566732997708,2982.5215875501262,2
2007-12-17,2155.164914250355,778.7208647345533,2933.8857789849085,2
2007-12-18,2155.164914250355,801.1860321720419,2956.350946422397,2
2007-12-19,2155.164914250355,797.8518594296015,2953.0167736799567,2
2007-12-20,2155.164914250355,819.6217965380562,2974.7867107884113,2
2007-12-21,2155.164914250355,883.9930783498554,3039.1579926002105,2
