entryDate,closeDate,shortStrike,longStrike,credit,closeReason,netPnl
2007-03-21,2007-04-16,141,136,0.6834,profit_target,62.703738232302456
2007-03-22,2007-04-16,141,136,0.7313,profit_target,66.21835029020073
2007-04-16,2007-05-08,145,140,0.7960,profit_target,62.53080260922114
2007-04-17,2007-05-09,145,140,0.7538,profit_target,62.01899275093922
2007-05-08,2007-06-01,148,143,0.7337,profit_target,60.24381688570059
2007-05-09,2007-06-04,149,144,0.7947,profit_target,64.74913200851299
2007-06-01,2007-07-05,151,146,0.7442,profit_target,65.84979092942406
2007-06-04,2007-07-09,151,146,0.7318,expired_worthless,73.18226863873134
2007-07-05,2007-07-27,150,145,0.8659,stop_loss,-199.24832696999098
2007-07-09,2007-07-27,150,145,0.7752,stop_loss,-201.04417685121015
2007-09-04,2007-09-27,145,140,0.8383,profit_target,66.65768637486175
2007-09-13,2007-10-04,144,139,0.8126,profit_target,63.8980571340431
2007-09-27,2007-10-29,150,145,0.8392,profit_target,69.60239673445109
2007-10-04,2007-11-07,151,146,0.8611,stop_loss,-232.32192156785658
2007-10-29,2007-11-09,150,145,0.8069,stop_loss,-202.0660288805135
2008-08-11,2008-09-04,127,122,0.7693,stop_loss,-187.28719960052047
2008-08-14,2008-09-09,126,121,0.7921,stop_loss,-198.48807984352447
2009-05-19,2009-06-19,87,82,0.6330,profit_target,53.007353934345
2009-05-20,2009-06-23,87,82,0.6683,profit_target,61.23403652292491
2009-06-19,2009-07-20,89,84,0.6949,profit_target,65.14216487000525
2009-06-24,2009-07-20,87,82,0.6883,profit_target,58.49973997347119
2009-07-20,2009-08-13,92,87,0.6926,profit_target,56.000921496141615
2009-07-21,2009-08-18,92,87,0.6558,profit_target,52.34562654288945
2009-08-13,2009-09-10,98,93,0.7122,profit_target,58.4572979081376
2009-08-18,2009-09-14,96,91,0.7382,profit_target,65.6838486641983
2009-09-10,2009-10-09,101,96,0.7043,profit_target,59.534856358809435
2009-09-14,2009-10-13,102,97,0.7572,profit_target,61.110204287726546
2009-10-09,2009-11-09,104,99,0.7395,profit_target,66.08758778001466
2009-10-13,2009-11-11,104,99,0.7221,profit_target,59.34165118143574
2009-11-09,2009-12-10,106,101,0.7348,profit_target,61.56774807904493
2009-11-11,2009-12-14,107,102,0.7827,profit_target,75.73766514413666
2009-12-10,2010-01-05,107,102,0.7370,profit_target,62.14468734693039
2009-12-14,2010-01-08,108,103,0.7109,profit_target,57.292771411352064
2010-01-08,2010-01-26,112,107,0.7685,stop_loss,-157.05224759862725
2010-01-05,2010-01-29,111,106,0.7716,stop_loss,-204.6939536416033
2010-02-19,2010-03-12,108,103,0.7389,profit_target,58.18782131107437
2010-03-01,2010-03-22,109,104,0.7689,profit_target,64.81931308270724
2010-03-12,2010-04-05,112,107,0.6935,profit_target,57.99542788204965
2010-03-22,2010-04-14,114,109,0.7344,profit_target,64.32753085059088
2010-04-05,2010-05-06,116,111,0.7291,stop_loss,-198.9463620166194
2010-04-14,2010-05-06,119,114,0.7906,stop_loss,-269.6580933523872
2011-01-13,2011-02-07,126,121,0.8082,profit_target,65.88169348015846
2011-01-14,2011-02-08,127,122,0.7900,profit_target,62.830277518788634
2011-02-07,2011-03-14,129,124,0.7521,expired_worthless,75.21283821787881
2011-02-08,2011-03-15,130,125,0.7985,expired_partial,-102.74882232857925
2011-03-24,2011-04-20,128,123,0.7889,profit_target,67.28082062521436
2011-03-25,2011-04-20,128,123,0.7411,profit_target,60.03632245165151
